date;senders;receivers
1949-10-04;Polvani, Giovanni (1892-1970);Heisenberg, Werner (1901-1976)
1949-09-30;Heisenberg, Werner (1901-1976);Polvani, Giovanni (1892-1970)
1945-02-03;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1947-10;Planck, Marga (1882-1949);Heisenberg, Werner (1901-1976)
1949-07-13;"Erhard, Ludwig (1897-1977); Deutschland (Gebiet unter Alliierter Besatzung, Vereinigtes Wirtschaftsgebiet). Verwaltung für Wirtschaft";Heisenberg, Werner (1901-1976)
1948-10-22;"Heisenberg, Werner (1901-1976); Kopfermann, Hans (1895-1963)";"Kösters, Wilhelm (1876-1950); Physikalisch-Technische Anstalt (1949-1950)"
1948-09-23;"Freudenberg, Karl (1886-1983); Chemisches Institut (Heidelberg) (-1968)";Heisenberg, Werner (1901-1976)
1948-05-07;"Laue, Max von (1879-1960); Deutsche Physikalische Gesellschaft in der Britischen Zone (1946-1950)";Heisenberg, Werner (1901-1976)
1948-04-24;"Fraser, Ronald G. J. (1899-1985) [vermutlich]; Scientific Research Branch (Göttingen)";Laue, Max von (1879-1960)
1948-01-06;Deutschland (Gebiet unter Alliierter Besatzung, Vereinigtes Wirtschaftsgebiet). Verwaltung für Wirtschaft. Wissenschaftlicher Beirat;"Fraser, Ronald G. J. (1899-1985) [vermutlich]; Scientific Research Branch (Göttingen)"
1947-05-17;"Laue, Max von (1879-1960); Deutsche Physikalische Gesellschaft in der Britischen Zone (1946-1950); Physikalisch-Technische Reichsanstalt (1887-1953)";Heisenberg, Werner (1901-1976)
1947-02-26;"Fraser, Ronald G. J. (1899-1985); Deutschland (Gebiet unter Alliierter Besatzung, Britische Zone). Kontrollkommission. Research Branch";"Heisenberg, Werner (1901-1976); Correns, Carl W. (1893-1980); Eucken, Arnold (1884-1950); Hahn, Otto (1879-1968); Rein, Hermann (1898-1953); Telschow, Ernst (1889-1988); Windaus, Adolf (1876-1959)"
1947-03-25;"Mannkopff, Reinhold (1894-1978); Deutsche Physikalische Gesellschaft in der Britischen Zone (1946-1950)";Heisenberg, Werner (1901-1976)
1947-01-11;Bonhoeffer, Karl F. (1899-1957);Heisenberg, Werner (1901-1976)
1947-01-21;Scheunert, Arthur (1879-1957);Heisenberg, Werner (1901-1976)
1946-11-04;"Laue, Max von (1879-1960); Deutsche Physikalische Gesellschaft in der Britischen Zone (1946-1950)";Heisenberg, Werner (1901-1976)
1950-08-16;Roka, Eduard;Heisenberg, Werner (1901-1976)
1950-07-05;Heisenberg, Werner (1901-1976);Teller, Edward (1908-2003)
1950-04-24;Heisenberg, Werner (1901-1976);Teller, Edward (1908-2003)
1950-04-11;Teller, Edward (1908-2003);Heisenberg, Werner (1901-1976)
1949-09-13;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1948-04-27;Heisenberg, Werner (1901-1976);Raether, Heinz (1909-1986)
1947-06-22;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1947-05-13;Heisenberg, Werner (1901-1976);Raether, Heinz (1909-1986)
1947-04-23;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1947-04-17;Heisenberg, Werner (1901-1976);Raether, Heinz (1909-1986)
1947-03-21;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1947-02-22;Heisenberg, Werner (1901-1976);Raether, Heinz (1909-1986)
1947-01-23;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1947-01-08;Heisenberg, Werner (1901-1976);Raether, Heinz (1909-1986)
1946-12-20;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1946-06-13;Heisenberg, Werner (1901-1976);Raether, Heinz (1909-1986)
1946-06-04;Raether, Heinz (1909-1986);Heisenberg, Werner (1901-1976)
1950-08-28;"Stueckelberg von Breidenbach, Ernst Carl Gerlach; Université de Genève. Institut de physique";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1950-09-14;"Thirring, Walter (1927-2014); School of Theoretical Physics (Dublin)";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1950-08-07;"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Thirring, Walter (1927-2014); Max-Planck-Institut für Physik (1946-1958); Dublin Institute for Advanced Studies"
1950-06-05;Heisenberg, Werner (1901-1976);"Thirring, Walter (1927-2014); School of Theoretical Physics (Dublin)"
1950-06-24;"Thirring, Walter (1927-2014); School of Theoretical Physics (Dublin)";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1950-05-22;"Thirring, Walter (1927-2014); School of Theoretical Physics (Dublin)";"Heisenberg, Werner (1901-1976); Georg-August-Universität Göttingen (1737-)"
1949-06-23;Thirring, Walter (1927-2014);"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1949-06-17;Heisenberg, Werner (1901-1976);Thirring, Hans (1888-1976)
1949-05-25;Thirring, Hans (1888-1976);Heisenberg, Werner (1901-1976)
1947-11-14;Heisenberg, Werner (1901-1976);"Thirring, Hans (1888-1976); Institut für theoretische Physik der Universität Wien"
1950-04-19;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1950-04-14;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1950-04-11;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1949-10-28;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1949-10-06;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-03-02;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-06-27;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-04-20;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1948-04-01;Touschek, Bruno (1921-1978);Heisenberg, Werner (1901-1976)
1948-02-23;"Heisenberg, Werner (1901-1976); Cavendish Laboratory (1873-)";Touschek, Bruno (1921-1978)
1948-02-20;Touschek, Bruno (1921-1978);Heisenberg, Werner (1901-1976)
1948-01-31;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-01-28;Heisenberg, Werner (1901-1976);Touschek, Bruno (1921-1978)
1948-01-27;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-01-26;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-01-16;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1948-01-21;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1948-01-12;Heisenberg, Werner (1901-1976);Touschek, Bruno (1921-1978)
1947-11-04;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1947-10-22;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1947-10-10;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1947-10-06;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1947-07-09;Heisenberg, Werner (1901-1976);"Touschek, Bruno (1921-1978); University of Glasgow"
1947-04-05;"Touschek, Bruno (1921-1978); University of Glasgow";Heisenberg, Werner (1901-1976)
1947-03-31;Touschek, Bruno (1921-1978);Heisenberg, Werner (1901-1976)
1949-06-27;Chamnan Nitikasetr, Luang;Heisenberg, Werner (1901-1976)
1950-10-27;"Seeliger, Hans (1908-); Deutschland (Bundesrepublik). Bundesminister für Atomkernenergie (1961-1962)";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1950-12-04;"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Ramsauer, Carl (1879-1955); Eickemeyer, Hellmut (1902-); Akademie der Wissenschaften zu Göttingen (1941-)"
1950-12-08;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-11-28;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-11-20;Deutscher Forschungsrat (1949-1951) [vermutlich];Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1950-11-09;"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)"
1950-11-03;"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";Holleck, Ludwig (1904-1976)
1950-11-02;"Lehnartz, Emil (1898-1979); Westfälische Wilhelms-Universität Münster. Physiologisches Institut (1925-)";"Heisenberg, Werner (1901-1976); Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)"
1950-10-25;Notgemeinschaft der Deutschen Wissenschaft (1920-1951);Heisenberg, Werner (1901-1976)
1950-10-12;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1950-09-08;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1950-08-26;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-08-25;"Hocker, Alexander (1913-); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";Heisenberg, Werner (1901-1976)
1950-07-26;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-07-25;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-07-12;"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";Heisenberg, Werner (1901-1976)
1950-07-11;Gerlach, Walther (1889-1979);"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-07-10;"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)";"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-07-06;"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";Heisenberg, Werner (1901-1976)
1950-07-05;Heisenberg, Werner (1901-1976);Zierold, Kurt (1899-1989)
1950-06-28;Heisenberg, Werner (1901-1976);"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-06-26;Heisenberg, Werner (1901-1976);"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-06-21;"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)"
1950-06-17;Heisenberg, Werner (1901-1976);"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-06-14;"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)"
1950-06-12;Laue, Max von (1879-1960);Heisenberg, Werner (1901-1976)
1950-06-01;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-05-11;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-03-27;"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)";"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-03-21;Astronomisches Rechen-Institut Heidelberg (1945-);Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1950-02-22;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-02-19;Lehnartz, Emil (1898-1979);Heisenberg, Werner (1901-1976)
1950-12-13;Lehnartz, Emil (1898-1979);Heisenberg, Werner (1901-1976)
1950-02-06;"Nölting, Ernst (1902-1967); Nordrhein-Westfalen. ¬Der ¬Wirtschaftsminister";"Lehnartz, Emil (1898-1979); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-02-11;"Dölger, Franz (1891-1968); Redaktion der Byzantinischen Zeitschrift";Heisenberg, Werner (1901-1976)
1950-01-24;"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)";"Lehnartz, Emil (1898-1979); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1950-01-11;"Lehnartz, Emil (1898-1979); Westfälische Wilhelms-Universität Münster. Physiologisches Institut (1925-)";Heisenberg, Werner (1901-1976)
1950-01-02;Lehnartz, Emil (1898-1979);"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)"
1949-10-17;"Lehnartz, Emil (1898-1979); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)"
1949-09-30;"Eickemeyer, Hellmut (1902-); Deutscher Forschungsrat (1949-1951)";"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1949-09-30;Bartels, Julius (1899-1964);Heisenberg, Werner (1901-1976)
1949-09-27;"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1949-09-21;Heisenberg, Werner (1901-1976);Bartels, Julius (1899-1964)
1949-09-20;Heisenberg, Werner (1901-1976);"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)"
1949-09-16;"Zierold, Kurt (1899-1989); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";Heisenberg, Werner (1901-1976)
1949-09-15;"Geiler, Karl (1878-1953); Notgemeinschaft der Deutschen Wissenschaft (1920-1951)";"Heisenberg, Werner (1901-1976); Deutscher Forschungsrat (1949-1951)"
